Columns	ConvolutionKernel	DistanceSourceToDetector	DistanceSourceToPatient	Exposure	ExposureTime	FilterType	FocalSpots	FrameOfReferenceUID	GeneratorPower	ImageOrientationPatient	ImagePositionPatient	PixelSpacing	ReconstructionDiameter	RotationDirection	Rows	SOPInstanceUID	SliceThickness	XRayTubeCurrent
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-135.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.100954823835603369147775570297	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-330.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.101045044159171311719370216637	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-140.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.104640960159524969909035876745	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-40.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.104650143968793544078397221048	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-172.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.105369991253187546380355715175	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-190.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.105773495213395943047351590265	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-132.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.106384226099293473735231576698	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-125.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.110383487652933113465768208719	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-292.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.112518924822876519869547549080	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-200.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.115442980231714729764605769881	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-182.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.115976726221266363067740350040	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-80.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.117899712006236812875624866487	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-297.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.121018212793989444479389260870	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-290.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.125539044472697599723064701646	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-67.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.126650709629443140350675152351	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-72.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.129310871280665372188125744148	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-220.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.130235728059526278255193783252	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-157.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.135156800731029909386852815043	2.500000	400
