AcquisitionMatrix	EchoNumbers	EchoTime	FlipAngle	ImagingFrequency	InPlanePhaseEncodingDirection	InversionTime	MagneticFieldStrength	NumberOfEchoes	PixelBandwidth	PixelSpacing	PulseSequenceName	RepetitionTime	SOPInstanceUID	ScanningSequence	SequenceVariant	SliceThickness	TriggerTime
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.107604137198831810911624216009	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.123271245416942869173736403410	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.137043470902008273790952235084	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.142191412393245829247685190220	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.157009593953534570139723954307	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.167914713779924145770826971662	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.170190150121818218651818312553	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.241665676344083980568403325170	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.247732433782440271843868373011	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.248666030591121304675822717052	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.279383090133664109410731592373	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.301400014237749491983757349854	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.304961333412811803020893689882	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.544108117757609253612015311228	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.673862343774476058896773262142	GR	SS/SP/SK	6	45379
0/256/160/0	1	1.3	15	127.737008	ROW	13	3		488.281	1.0156/1.0156		3.684	1.3.6.1.4.1.14519.5.2.1.3671.4754.923944941235676268972521083837	GR	SS/SP/SK	6	45379
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.103689044865557724452394519845	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.124429879517059051093500633208	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.143114491241391815510736063118	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.149125325894661462952523553671	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.152924654448038358262686804402	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.200537030186963390070210476894	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.201140998249698765899237803750	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.202857331081459498476266672206	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.220377064075915867317031763774	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.232991577769038381726453115387	EP/SE	NONE	3.000000	
