Columns	ConvolutionKernel	FrameOfReferenceUID	ImageOrientationPatient	ImagePositionPatient	PixelSpacing	ReconstructionMethod	Rows	SOPInstanceUID	SliceThickness
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-213.771	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.100531512177150253274719844834	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-477.021	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.103344737804023707733900001487	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-625.521	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.105129100091617833988619170916	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-38.271	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.106023317018444345709960402873	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-429.771	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.106035834511025809062194417579	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-217.146	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.106520346043120708180364180369	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-291.396	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.109895065016978575156766866410	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-578.271	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.109987590846059353765610180972	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-443.271	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.110981964112998452393636224946	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-109.146	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.112753432704538290210853424872	3.3750001
