ClinicalTrialSeriesID	ClinicalTrialTimePointID	Columns	ContentCreatorName	NumberOfFrames	Rows	SOPInstanceUID	SegmentationType
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1464.1535579216.777705	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1503.1535579222.290092	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1598.1535579226.955417	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1682.1535579231.637897	BINARY
Session1	1	512	Reader1	261	512	1.2.276.0.7230010.3.1.4.0.1689.1535579239.884864	BINARY
Session1	1	512	Reader1	261	512	1.2.276.0.7230010.3.1.4.0.1704.1535579248.558518	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1738.1535579273.363117	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1745.1535579277.449818	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1747.1535579281.570167	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1754.1535579285.837256	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1761.1535579290.247790	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1768.1535579294.62796	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1775.1535579297.824959	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1777.1535579301.742483	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1786.1535579305.592698	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1793.1535579309.450480	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1800.1535579313.484436	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1802.1535579317.348082	BINARY
Session1	1	512	Reader1	140	512	1.2.276.0.7230010.3.1.4.0.1810.1535579321.273133	BINARY
Session1	1	512	Reader1	241	512	1.2.276.0.7230010.3.1.4.0.1848.1535579355.236961	BINARY
Session1	1	512	Reader1	241	512	1.2.276.0.7230010.3.1.4.0.1855.1535579361.579411	BINARY
Session1	1	512	Reader1	241	512	1.2.276.0.7230010.3.1.4.0.1862.1535579368.180797	BINARY
Session1	1	512	Reader1	241	512	1.2.276.0.7230010.3.1.4.0.1874.1535579374.784165	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1898.1535579397.119750	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1905.1535579400.768054	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1914.1535579404.798636	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1916.1535579408.673432	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1923.1535579412.764934	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1930.1535579416.616255	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1937.1535579420.510654	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1944.1535579424.711062	BINARY
Session1	1	512	Reader1	133	512	1.2.276.0.7230010.3.1.4.0.1946.1535579428.957118	BINARY
Session1	1	256	Reader01	80	256	1.2.276.0.7230010.3.1.4.1426846371.16056.1513205118.346	BINARY
Session1	1	512	Reader01	120	512	1.2.276.0.7230010.3.1.4.1426846371.5332.1513205117.173	BINARY
Session1	1	256	Reader01	64	256	1.2.276.0.7230010.3.1.4.1426846371.6596.1513205116.413	BINARY
Session1	2	256	Reader01	56	256	1.2.276.0.7230010.3.1.4.1426846371.14288.1513205119.4	BINARY
Session1	2	512	Reader01	120	512	1.2.276.0.7230010.3.1.4.1426846371.20024.1513205119.699	BINARY
Session1	2	256	Reader01	80	256	1.2.276.0.7230010.3.1.4.1426846371.5420.1513205120.882	BINARY
Session1	1	512	Reader01	120	512	1.2.276.0.7230010.3.1.4.1426846371.15020.1513205123.53	BINARY
Session1	1	256	Reader01	80	256	1.2.276.0.7230010.3.1.4.1426846371.16656.1513205122.202	BINARY
Session1	1	256	Reader01	64	256	1.2.276.0.7230010.3.1.4.1426846371.18708.1513205121.607	BINARY
Session1	2	256	Reader01	64	256	1.2.276.0.7230010.3.1.4.1426846371.17232.1513205124.808	BINARY
Session1	2	256	Reader01	64	256	1.2.276.0.7230010.3.1.4.1426846371.20236.1513205124.214	BINARY
Session1	2	512	Reader01	120	512	1.2.276.0.7230010.3.1.4.1426846371.6496.1513205125.611	BINARY
Session1	1	512	Reader01	90	512	1.2.276.0.7230010.3.1.4.1426846371.13172.1513205127.504	BINARY
Session1	1	256	Reader01	64	256	1.2.276.0.7230010.3.1.4.1426846371.19392.1513205126.759	BINARY
Session1	1	256	Reader01	80	256	1.2.276.0.7230010.3.1.4.1426846371.8092.1513205128.612	BINARY
Session1	2	256	Reader01	64	256	1.2.276.0.7230010.3.1.4.1426846371.14756.1513205131.66	BINARY
Session1	2	512	Reader01	96	512	1.2.276.0.7230010.3.1.4.1426846371.1952.1513205130.87	BINARY
Session1	2	256	Reader01	64	256	1.2.276.0.7230010.3.1.4.1426846371.5832.1513205129.320	BINARY
1	1	512	Automated Aortic Arch Reference Region Segmentation	12	512	1.2.276.0.7230010.3.1.4.8323329.18234.1440001306.224431	BINARY
