CompletionFlag	SOPInstanceUID	TemplateIdentifier	VerificationFlag
COMPLETE	1.2.276.0.7230010.3.1.4.0.1470.1535579220.822779		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15261.1536619872.951980		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15285.1536619880.785104		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15308.1536619888.549643		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15332.1536619895.940089		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1564.1535579225.540086		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1653.1535579230.166854		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1683.1535579234.541193		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15356.1536619910.36822		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15379.1536619923.618545		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1695.1535579245.348057		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1716.1535579253.922954		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15401.1536619932.378672		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15424.1536619940.94451		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15446.1536619947.732195		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15469.1536619955.515421		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15492.1536619963.169047		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15514.1536619970.853123		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15537.1536619978.548415		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15560.1536619986.177950		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15583.1536619994.996425		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15605.1536620001.635499		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15628.1536620009.277602		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15650.1536620016.930857		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15674.1536620024.623132		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1739.1535579276.249754		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1746.1535579280.361752		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1753.1535579284.536004		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1760.1535579288.762379		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1767.1535579293.156294		VERIFIED
